IUPAC,CAA 0.1ug/ml,CAA 1ug/ml,CAA 10ug/ml,CAA 100ug/ml
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,3.3542587606404703,4.293619615487617,10.001563205944358,5.684546692202761
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,5.087975775951244,3.6897967002487646,3.513909567229447,5.902268052480638
Gal(a1-3)Gal(b1-Sp8,10.434849296268409,8.249914299100327,3.866670588827033,11.106199288985712
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.258329137029501,4.534705606394606,4.345405066274029,3.91209965310616
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,15.193429308092362,4.53718598720617,4.615564020788799,5.122577280041762
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,11.501272448262705,4.353771306484378,6.869950295489772,4.932191729511993
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,13.63690084122246,12.825709066948312,5.308733498051423,7.927513985008174
Gal(a1-4)GlcNAc(b1-Sp8,7.927882590999106,10.835079907258027,2.6919830687617634,7.688291748062985
Gal(a1-6)Glc(b1-Sp8,5.386401330201823,6.999300103760378,7.634601861262968,13.002551092381834
Gal(b1-2)Gal(b1-Sp8,4.188327165965768,2.350468758035288,12.63006199905606,11.34570790387273
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.971876566141839,2.633925899362649,4.121195281711346,4.7396300755790355
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,10.534585074252652,3.5760155884960407,4.785696049339808,9.321932025247412
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,2.7577287047798285,7.622212106075244,4.78857258507167,6.356463270496156
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,3.985855900138212,2.4787527419719257,2.771818688605007,10.644283929688923
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,2.112376296180841,1.7153199475607919,3.454683219920463,7.2800160189842105
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,4.5116418529363225,6.26700324929441,2.4016862095550064,13.751973621872326
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,3.964395780254544,13.43127351429615,7.187251118647518,3.415673591328668
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,3.9275685510673566,9.296017965057256,6.194084040168217,2.8885460914619308
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,2.190075145400264,2.196834532533879,4.069481405433214,6.6731382589702966
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.7581314410000415,2.508416990188566,1.5991309848372806,13.53174384410598
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,1.9137672611893009,6.927692924957044,12.255046115614308,9.5196953610222
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,2.8115605269434734,3.823620242976542,1.612682395885804,5.571135248986519
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,4.6876850970566135,3.1803585671797028,2.021579703268378,6.709402341242224
Gal(b1-3)GalNAc(a1-Sp8,1.7573214636675485,2.043732209096876,4.2823630435387745,7.19839279810663
Gal(b1-3)GalNAc(a1-Sp14,9.525623031417242,5.228507622639558,1.6352112042485518,10.586080376096088
Gal(b1-3)GalNAc(a1-Sp16,4.770683761265254,4.648084780494721,4.810983664491075,1.8676202636421209
Gal(b1-3)GalNAc(b1-Sp8,7.226091086415031,6.991377478723339,3.7998381398642067,24.745728166426378
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,7.946592498412973,3.3779261103029885,2.9176306665968883,4.732171155241539
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,3.7351088260584913,5.214972280527162,9.867427761073298,43.580772183077876
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,3.2025236115444984,7.8574980108174355,16.86257471866322,10.87941144467384
Gal(b1-3)Gal(b1-Sp8,4.444166916588523,1.6980601861634141,10.919412411656284,8.18368015789148
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.8949809444952177,14.162220013707831,1.7193487398333902,4.889611863515691
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,6.715606672706477,3.001299143565443,8.725752715191206,19.274166846044707
