IUPAC,BPL (1ug/ml),BPL (10ug/ml),BPL (100ug/ml)
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1170.151525,5671.9846000000025,17756.306500000002
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4600.06335,17360.382125,28458.904624999985
Gal(b1-4)(6S)Glc(b1-Sp0,-1.4071750000000005,1.7375749999999996,-3.441225000000001
Gal(b1-4)(6S)Glc(b1-Sp8,3.538625000000001,9.9266,12.08325
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.796875,151.36565000000004,4119.570225000001
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,20.795825,505.1742249999999,9207.465550000004
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,3.973525,49.89910000000001,2767.2224
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,3.3001999999999985,14.560725,424.19175
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,36.568325,370.94417499999986,4242.740500000002
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,47.52910000000002,149.81059999999997,2932.45085
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,12.828424999999996,83.74220000000003,1907.768775
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,36.001825,44.499575,1847.89845
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,31.645225,59.01865,958.89525
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,1927.0872,5396.5386,16514.159849999996
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,1183.7123,4449.809150000001,15486.534500000002
Gal(b1-4)GlcNAc(b1-Sp0,6.8609500000000025,7.2369249999999985,13.3989
Gal(b1-4)GlcNAc(b1-Sp8,11.109425,121.7053,5008.878400000001
Gal(b1-4)GlcNAc(b1-Sp23,8.61125,67.617575,2154.748150000001
Gal(b1-4)Glc(b1-Sp0,8.174125,-0.6370749999999985,10.248024999999997
Gal(b1-4)Glc(b1-Sp8,12.915425,2.1993250000000018,15.26685
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,2.5162749999999985,5.86495,-8.832975
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,972.05685,3683.168900000001,15570.665325000005
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,12.902925,5.208025000000001,-10.405475
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,5.131724999999999,3.434600000000001,8.771574999999999
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,-0.5900500000000015,9.260625,15.124099999999995
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,-11.126975000000002,0.76295,-11.606800000000005
GlcNAc(b1-3)GalNAc(a1-Sp8,1.866950000000001,8.19195,7.297050000000013
GlcNAc(b1-3)GalNAc(a1-Sp14,5.038400000000003,4.996124999999998,-1.9187999999999992
GlcNAc(b1-3)Gal(b1-Sp8,9.96205,7.321224999999997,7.16155
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.883275,0.5477750000000006,3.790974999999997
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,1.7239250000000013,-1.3832999999999993,-2.3441249999999982
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.8885000000000003,6.406225000000003,2.2889
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-0.2618000000000009,-1.263125,2.3425
GlcNAc(b1-4)(a1-MDPLys,1.7513750000000012,2.6819999999999986,5.833050000000004
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,-0.8674,5.646424999999999,-6.714199999999997
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,-2.4274499999999986,0.8372500000000009,-0.3029250000000037
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,20.04965,9.578400000000004,4.128674999999999
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,23.318375000000003,-1.0459000000000014,11.15675
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,2.922099999999995,5.74125,4.677175000000002
GlcNAc(b1-6)GalNAc(a1-Sp8,4.1515,-1.3207249999999997,198.82745000000008
GlcNAc(b1-6)GalNAc(a1-Sp14,8.096275,9.692375000000002,19.380650000000013
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,6.5637250000000025,28.899925000000003,535.4929
Glc(a1-4)Glc(b1-Sp8,4.967674999999995,9.539925000000002,3.8096000000000023
Glc(a1-4)Glc(a1-Sp8,3.0997999999999983,-1.3295999999999992,7.803774999999997
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,7.5527,-0.90325,3.6
Glc(b1-4)Glc(b1-Sp8,5.307850000000002,2.506824999999999,13.805650000000002
Glc(b1-6)Glc(b1-Sp8,11.737350000000005,13.237299999999998,9.69405
G-ol(a1-Sp8,12.560200000000002,8.502025000000001,7.402474999999999
GlcA(a1-Sp8,-0.8626749999999994,5.669300000000002,-1.756524999999998
GlcA(b1-Sp8,8.849175000000002,19.300025,28.40172500000001
GlcA(b1-3)Gal(b1-Sp8,6.786075000000002,16.4513,-2.1327749999999988
GlcA(b1-6)Gal(b1-Sp8,14.341474999999996,4.071450000000001,4.5484500000000025
