IUPAC,VGA(EY Lab) (1ug/ml),VGA(EY Lab) (10ug/ml),VGA(EY Lab) (100ug/ml)
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,9.075475,4.357250000000001,37.10155
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,6.4169250000000035,4.265650000000001,69.90504999999999
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,7.116325,10.811525000000005,136.29307500000004
Gal(a1-4)GlcNAc(b1-Sp8,3.9717249999999993,598.0506000000005,43.64332500000001
Gal(a1-6)Glc(b1-Sp8,7.807050000000001,2.69965,125.973975
Gal(b1-2)Gal(b1-Sp8,11.033975000000002,69.637575,56.9017
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.902424999999994,6.129474999999999,10.625925
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.250725,5.318874999999999,36.730750000000015
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,5.336525000000001,19.5468,88.80792500000004
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,11.647799999999998,4.348175,4.237899999999996
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,2.9348249999999987,7.1268,29.39487500000001
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,-0.19869999999999965,4.879175000000003,113.402675
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,28.53302500000001,8.221274999999999,71.061475
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.670824999999999,16.358800000000002,106.84457500000003
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,3.9593249999999984,6.246375,52.65082500000001
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,8.652450000000002,5.516950000000001,9.52145
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,8.490274999999997,8.025075000000001,81.598125
