IUPAC,AIA (0.01ug/ml),AIA (0.1 ug/ml),AIA (1 ug/ml),AIA (10 ug/ml)
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,-14.597400000000002,-25.518125,3.6915999999999976,-30.159250000000004
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-13.437725,-9.989725,-12.058475,-33.822925
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,-4.079424999999997,-18.071525,1.5237750000000003,-10.459574999999994
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-8.949024999999997,-16.986850000000004,-10.5133,-29.006550000000008
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,-24.2575,-15.599825000000004,-12.562625,8.58487499999999
Gal(b1-3)GalNAc(a1-Sp8,-13.567575000000005,-51.25995,122.297425,33405.23512500001
Gal(b1-3)GalNAc(a1-Sp14,-18.31785,-24.745875,-9.360600000000002,15302.206799999998
Gal(b1-3)GalNAc(a1-Sp16,-3.624025,-25.217575,-11.228550000000006,12319.131650000005
Gal(b1-3)GalNAc(b1-Sp8,-1.2447999999999997,-32.364375,-5.9899499999999986,3099.787150000001
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,-0.5168999999999997,-13.574750000000002,2.6578000000000035,13.114849999999995
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1.1645499999999984,-15.380775,23.14337500000001,-23.676475000000003
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,10.501600000000003,4.945800000000002,-1.9978500000000008,-10.493650000000006
Gal(b1-3)Gal(b1-Sp8,-5.5212,-0.5524750000000012,10.099849999999998,-32.86597500000001
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,19.67945,-5.578375000000001,-10.428550000000003,-7.296124999999996
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,19.461649999999988,-13.32685,1.3258250000000018,-13.9941
Gal(b1-3)GlcNAc(b1-Sp0,-2.325175000000001,-21.660625,-8.94175,-10.520625
Gal(b1-3)GlcNAc(b1-Sp8,-6.42465,-3.1209749999999983,-7.1156000000000015,-28.6162
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.102875000000001,-17.350549999999995,0.5473000000000017,-13.410699999999995
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-0.9402499999999988,-6.085725,-2.8792500000000025,-23.688500000000005
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-8.575700000000001,-10.108850000000004,-15.10415,-6.405525000000001
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-1.650875000000001,-12.162575,1.1836249999999942,-23.101125000000003
Gal(b1-4)(6S)Glc(b1-Sp0,-11.116650000000002,-13.503900000000002,-3.534875000000003,-24.046875
Gal(b1-4)(6S)Glc(b1-Sp8,9.197725000000004,-18.5727,-5.357399999999997,-8.188674999999996
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-1.799074999999999,-17.603375,-8.285999999999996,-15.727775
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-14.229925,-8.497349999999999,-5.190849999999996,-28.39659999999999
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,-4.8942250000000005,-28.21804999999999,507.741775,38295.08940000001
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,6.233024999999998,-18.848975000000006,12.9069,32822.552125
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-13.202700000000005,-13.569925000000005,5.600349999999999,-11.640449999999998
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,0.15532500000000127,-4.319099999999999,-13.689225,-25.177625
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.014350000000002,-14.219275000000005,-7.185,-27.139425
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,14.496875,-11.162125,21.432800000000004,-20.196375
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,4.519749999999998,1.2706499999999927,1.1854500000000012,6.711399999999998
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,0.6943000000000001,1.8928249999999984,-8.474950000000002,-9.180949999999996
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,-3.6929,-18.6063,-4.2836500000000015,-9.606124999999992
Gal(b1-4)GlcNAc(b1-Sp0,3.9647250000000014,-17.21795,-2.6808999999999976,10.515224999999996
Gal(b1-4)GlcNAc(b1-Sp8,2.6376500000000025,-6.92755,1.4149500000000046,-6.56035
Gal(b1-4)GlcNAc(b1-Sp23,-6.8771749999999985,-14.696199999999996,2.9095249999999986,-15.294100000000006
Gal(b1-4)Glc(b1-Sp0,3.5554749999999995,1.5704000000000011,-6.457149999999999,2.374850000000002
Gal(b1-4)Glc(b1-Sp8,0.8754249999999999,5.61345,10.612350000000003,5.079999999999996
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,-2.0869000000000018,-19.093425000000007,6.540049999999997,-17.133825
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,-0.8365499999999955,-9.467299999999996,-10.407175000000002,-7.785
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,-0.5676000000000041,-15.94495,367.0446,35763.7123
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,-2.18615,-2.206150000000001,-1.628724999999999,-19.210925000000007
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,4.364475000000001,-27.9735,-12.6389,-28.69955
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,-16.064750000000004,-23.273550000000004,-3.1379750000000013,-20.103900000000007
GlcNAc(b1-3)GalNAc(a1-Sp8,-3.08745,-13.734075,665.5439500000001,39560.085875
GlcNAc(b1-3)GalNAc(a1-Sp14,2.4229249999999976,-9.953575,-2.09365,34538.005175
GlcNAc(b1-3)Gal(b1-Sp8,-0.8117000000000001,-8.432099999999998,-1.8778250000000007,4309.0645
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-3.0627250000000004,-9.399599999999998,4.564699999999998,-19.586050000000007
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,-12.298725,-15.4578,0.6403999999999996,-38.3375
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-8.9813,-3.4319499999999987,3.5300999999999974,-13.860675
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-9.24745,-12.479850000000004,1.164200000000001,-12.429700000000011
GlcNAc(b1-4)(a1-MDPLys,-5.085750000000002,-10.962975,4.989674999999998,-18.89285
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,-1.146950000000002,-13.428249999999998,4.8497,-16.253775000000005
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,-12.228725,-29.94572499999999,-2.8617749999999984,-20.025725
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,-4.265625,-2.7345000000000024,5.5386500000000005,-4.796824999999998
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,-2.594050000000003,-16.0204,-10.80625,8.853824999999997
