IUPAC,DBA (0.1ug/ml),DBA (10ug/ml),DBA (100 ug/ml)
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.943930077,4.0903635860000005,8.120026567
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,8.213588502,5.474526085,5.59885506
GlcNAc(b1-4)(a1-MDPLys,9.705926464,7.161278583,8.233836176
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,10.02555114,15.88630394,2.306608156
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,3.169535428,21.94750792,4.1190460610000015
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,6.174724215,5.6324238939999995,6.047310277999999
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,11.62716546,4.397615348,13.77166286
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,10.34443609,25.43719361,29.20334706
GlcNAc(b1-6)GalNAc(a1-Sp8,10.559449699999998,8.93198488,5.324198481
GlcNAc(b1-6)GalNAc(a1-Sp14,12.84076014,55.51618252,15.89707742
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,10.89577498,12.55372774,5.757312281
Glc(a1-4)Glc(b1-Sp8,5.304221555,9.178026007,16.36634146
Glc(a1-4)Glc(a1-Sp8,4.846274983,12.23505589,3.7266147689999998
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,12.9289921,9.235848332,6.669125005
Glc(b1-4)Glc(b1-Sp8,6.723896336,4.59681936,15.32981924
Glc(b1-6)Glc(b1-Sp8,22.24071567,5.049852875,5.360740796
G-ol(a1-Sp8,9.125288161,7.876470395,18.79340202
GlcA(a1-Sp8,8.838076009,30.20518571,4.85561041
GlcA(b1-Sp8,23.43291711,32.63309501,27.16350294
GlcA(b1-3)Gal(b1-Sp8,3.8398508319999998,14.26768509,10.24632457
GlcA(b1-6)Gal(b1-Sp8,13.91944952,3.001152295,11.474182699999998
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,8.80332187,17.31620755,27.52695968
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,7.416956882000001,13.24865733,3.43227756
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,3.4314548830000002,1.940958065,4.663347848
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,0.99386373,13.90500401,9.176177947000001
Man(a1-2)Man(a1-3)Man(a1-Sp9,7.802086125,4.190192465,30.60732029
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.0207137820000005,2.53868328,2.6929240180000003
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,10.07876112,8.09868632,23.31920349
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,15.73643043,17.61883996,6.397743062000001
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,13.85331461,11.09533983,6.912427974
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,12.21486734,9.31793898,23.02320957
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,11.30433036,23.80181517,15.72230337
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.339194663,18.80533911,31.85935118
Man(b1-4)GlcNAc(b1-Sp0,11.22414716,14.17170317,16.82324512
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.350856623,32.19108832,11.26990207
(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,14.17647575,6.544363035,230.82863500000002
Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,14.83888504,2.8011172789999996,90.50893771
Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,3.080823386,13.27007219,339.5370373
Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,10.51955026,18.85668099,34.63415406
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,8.671133486,12.27417965,8.637976724
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,11.08943509,13.00320713,21.12756613
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,11.46340391,12.80334478,12.86735023
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,7.587326776,8.974099171,12.76527434
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,12.06513861,13.27318442,19.40256765
