IUPAC,VVL (0.1ug/ml),VVL (1ug/ml),VVL (10ug/ml),VVL (100ug/ml)
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.316325,0.9654,1.225425,-3.182725
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,4.6232,5.231775,12.39195,1.006625
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,7.8793,8.79215,4.41525,1.54475
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,8.801475,4.500125,4.71975,7.06605
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,0.359525,7.94585,3.3123,18.823125
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,7.9079,10.6459,9.9599,3.0655
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,19.428725,15.164475,11.838775,11.842925
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,4.419625,6.668325,16.16915,-0.825025
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.324725,9.44385,4.709275,0.289175
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,8.52575,6.981725,2.162975,19.786675
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.437625,10.098775,1.51325,8.2707
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,5.448,7.614725,5.435175,2.170725
Gal(b1-3)GalNAc(a1-Sp8,3.3613,2.664125,4.311525,-2.740525
Gal(b1-3)GalNAc(a1-Sp14,9.59325,9.578225,4.13895,2.709475
Gal(b1-3)GalNAc(a1-Sp16,8.416,11.114525,7.221625,22.325175
Gal(b1-3)GalNAc(b1-Sp8,1.2775,7.696125,7.805325,12.598875
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,6.651275,3.010875,1.694,29.198525
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1.44285,1.577975,25.191525,-3.2854
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,10.055175,20.0011,7.802175,15.144075
Gal(b1-3)Gal(b1-Sp8,2.465625,0.741425,1.21845,5.05155
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.66095,6.905925,5.732375,4.722075
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,5.244525,4.93255,11.984525,-6.298275
Gal(b1-3)GlcNAc(b1-Sp0,9.486775,10.447475,4.3305,7.675975
Gal(b1-3)GlcNAc(b1-Sp8,6.874075,8.153825,7.9474,0.6721
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-0.21525,14.02585,7.1988,13.103725
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,8.453825,15.41275,1.94745,10.494175
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.201975,8.108925,10.7878,-1.24055
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.2539,0.62045,4.092025,1.408725
Gal(b1-4)(6S)Glc(b1-Sp0,5.370125,13.4661,7.5421,13.132475
Gal(b1-4)(6S)Glc(b1-Sp8,26.2957,6.55665,10.9073,22.632475
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,6.571025,2.8114,4.96985,8.74565
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,4.641225,3.525875,5.462999999999999,7.924675
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,6.01175,5.616725,2.896375,14.668325
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,8.18915,26.575525,17.408275,14.2535
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.65115,8.394625,3.9728,8.978725
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,0.3038,1.7111,8.8745,5.79165
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.80165,12.1856,4.710125,4.090675
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,4.481875,2.490425,17.0776,15.518925
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,4.3907,9.4891,3.494375,5.852175
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,9.177475,4.63715,6.4082,19.0384
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,0.44525,13.4672,8.9796,24.185525
Gal(b1-4)GlcNAc(b1-Sp0,36.14395,-0.7489,11.1699,17.10175
Gal(b1-4)GlcNAc(b1-Sp8,4.43935,5.690725,-0.263075,26.90035
Gal(b1-4)GlcNAc(b1-Sp23,4.581575,3.706725,11.56985,1.0139
Gal(b1-4)Glc(b1-Sp0,7.731775,0.7136,14.870575,29.29755
Gal(b1-4)Glc(b1-Sp8,11.7321,1.449375,5.470025,23.4324
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,6.99485,12.634525,4.548575,1.86565
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,1.702025,2.807475,5.06895,8.8878
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,12.023125,1.876425,16.874625,13.366675
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,3.8976,3.014775,4.034125,1.302575
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,12.191325,1.557275,9.509925,4.275575
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,7.094675,12.504125,4.716575,5.1854
GlcNAc(b1-3)GalNAc(a1-Sp8,6.6417,-1.811575,7.02295,16.01335
GlcNAc(b1-3)GalNAc(a1-Sp14,6.198925,8.035875,11.273625,15.743675
GlcNAc(b1-3)Gal(b1-Sp8,5.840225,6.6167,11.602225,9.7849
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.199,16.858825,10.25585,15.106275
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,0.105475,6.78965,5.9132,5.142525
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.1104,13.836175,11.806825,1.989
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,5.411525,0.958225,7.2704,6.766775
GlcNAc(b1-4)(a1-MDPLys,7.61915,5.76245,-0.393225,2.517525
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,-3.0753,5.7684,7.0413,3.7576
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,8.2049,10.562525,0.14985,-3.63805
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,6.163575,14.1032,6.24875,4.826825
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,9.851875,3.200975,-2.22265,9.526125
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,2.0878,10.93485,0.58315,6.3024
GlcNAc(b1-6)GalNAc(a1-Sp8,16.366375,4.442225,12.9984,44.777075
GlcNAc(b1-6)GalNAc(a1-Sp14,5.470025,7.89175,6.399525,-5.827000000000001
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,0.047875,8.803475,12.592,3.9144
Glc(a1-4)Glc(b1-Sp8,26.056625,12.1993,9.28185,14.463925
Glc(a1-4)Glc(a1-Sp8,7.91355,5.0844,8.001275,1.312475
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,2.48935,6.682,0.21535,3.45325
Glc(b1-4)Glc(b1-Sp8,20.919075,4.852425,12.5176,10.80605
Glc(b1-6)Glc(b1-Sp8,4.512475,12.318975,13.69475,6.978775
G-ol(a1-Sp8,6.476625,14.9258,14.0468,11.10855
GlcA(a1-Sp8,15.974425,8.1372,5.166075,5.732825
GlcA(b1-Sp8,26.59045,66.621425,33.365975,69.32185
GlcA(b1-3)Gal(b1-Sp8,9.31905,13.597075,10.12675,-1.9018
GlcA(b1-6)Gal(b1-Sp8,21.440125,7.177425,8.246475,14.006325
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,19.26915,4.7623,13.762825,-1.070975
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,5.66325,6.53765,12.443925,26.8966
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,6.620175,4.22415,17.01775,2.0257
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,10.214275,9.75435,3.912775,2.41885
Man(a1-2)Man(a1-3)Man(a1-Sp9,8.779,4.199375,5.399025,12.0009
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-0.00585,8.999575,8.541025,0.275675
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.1778,8.1224,0.972375,0.347875
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,47.762225,26.159375,48.9859,35.14115
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,12.352275,9.817975,12.045975,-2.737675
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,4.61195,8.456725,9.7637,15.855175
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,173.044125,154.619325,129.675325,251.5387
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,12.78165,9.281925,4.09795,11.8294
Man(b1-4)GlcNAc(b1-Sp0,7.98235,9.029225,11.27895,5.76795
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-1.898725,0.425125,4.552,5.775825
(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,12.937025,1.21055,5.97645,2.363325
Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,5.08115,3.852725,5.297925,4.827875
Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,9.9514,5.21575,12.79015,20.306275
Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,1.00315,18.6794,14.93425,1.400725
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,5.310875,9.898675,0.83685,-2.7497
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,1.950925,3.8382,-4.589325,5.606675
