IUPAC,UDA 0.1ug/ml,UDA 1ug/ml,UDA 10ug/ml,UDA 100ug/ml
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,11.844005961490955,8.75078135535146,8.948053923805633,4.02293802089966
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,1.067917833917947,3.6457578099987233,11.948411233402547,25.024455741184312
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,6.247970559776461,8.576976228397733,9.510252045906393,15.663234745202994
Fuc(a1-2)Gal(b1-Sp8,5.023977584461008,8.442853371293776,16.595263475863625,16.089071125119894
Fuc(a1-3)GlcNAc(b1-Sp8,2.0717170083049465,2.8757638606985965,4.276865731175107,12.3727217671241
Fuc(a1-4)GlcNAc(b1-Sp8,2.1889285695289344,5.814438126121909,5.509401392997853,10.268353133292607
Fuc(b1-3)GlcNAc(b1-Sp8,2.078306840314959,4.165228654287782,3.2196791486109304,7.967758126558138
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,7.916973117875714,3.6482232016649454,7.515784906171371,42.86864914747333
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.87437898986926,3.77210730527382,20.181824693912933,10.093915095244279
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,1.4376455552395442,19.41467531482313,14.641922721418796,8.934414154781868
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,7.492739044568419,1.1231336411276087,5.87914135588693,92.23330560442898
