IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,127.8804918,138.9528034,12.6679816,26.18176706,62.11536702
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,37.14098515,57.56343974,51.52290112,47.71274722,101.978026
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,50.17513845,51.51190348,41.04618812,22.53105328,53.42076835
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,84.02945522,22.93439511,35.07199601,123.2186769,130.5896254
Gal(a1-3)Gal(b1-Sp8,28.70440467,54.73157007,36.03577544,61.69097002,30.77406349
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,53.66200453,80.96736584,64.46316478,53.44828458,152.9209689
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,61.62410243,91.69069066,66.15942573,103.8767675,75.31332896
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,60.72853351,31.14686265,42.08579988,93.75444933,637.7271029
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,125.106031,46.38179142,69.78614809,114.4078356,156.3421709
Gal(a1-4)GlcNAc(b1-Sp8,28.78728752,86.72678492,19.81200506,44.37732711,15.91021049
Gal(a1-6)Glc(b1-Sp8,84.82628129,252.435651,22.40714651,26.45541446,21.65473393
Gal(b1-2)Gal(b1-Sp8,57.60213863,42.22780377,10.06533572,48.07112042,127.7694567
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,20.41790511,58.75200025,59.53605094,31.52327142,61.01465954
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,56.46402701,88.1386009,17.96342026,48.52189237,63.7359289
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,80.90987619,20.64380086,26.38405041,43.06205583,580.0110555
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,52.83672412,32.51743821,86.12061413,43.19446064,96.8377057
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,16.05923276,21.23458042,29.51569406,28.91563627,48.26235048
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,132.1082003,129.9152052,73.76211833,311.5418456,54.00838958
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,138.9662978,67.29979806,18.14425492,105.9463154,78.41559286
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,124.0378527,115.8011021,27.08710676,477.3565791,70.10246627
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,22.87280802,18.06934354,100.0175396,24.62499776,12.69850278
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,71.16049863,38.18135491,29.06174123,112.3447097,45.41907915
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,86.96214932,26.65564319,36.42625518,52.46363358,14.06354094
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,45.28196453,40.3179296,19.65959614,47.40520463,26.16103068
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,13.93891919,11.23365906,48.76888127,18.07032684,168.8083297
Gal(b1-3)GalNAc(a1-Sp8,26.75457225,22.46484262,48.43083287,44.81664371,6.469652292
