IUPAC,Gal-3C (0.5ug/ml),Gal-3C (2ug/ml),Gal-3C (5ug/ml),Gal-3C (20ug/ml),Gal-3C (50ug/ml)
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,71.071775,244.885375,528.4648249999998,1190.7558,3916.238675
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,37.042075,20.912375,45.05610000000001,39.12817500000001,39.04627500000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,17.597025,12.251175,17.7121,21.109275,30.1504
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,55.17264999999999,587.5063250000002,1896.45115,4657.323975000001,13292.075575000004
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,30.15505000000001,38.14235,75.5583,127.982625,502.12
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,21.971325,7.524474999999998,11.0026,8.774625000000002,18.706275000000005
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,26.764375,23.111525,28.071525000000005,25.729975000000003,17.646125
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,18.59865,35.24235,12.607150000000004,9.311999999999985,25.742600000000003
Gal(a1-3)GalNAc(a1-Sp8,29.73025,33.363725,26.264225,23.31130000000001,17.6819
Gal(a1-3)GalNAc(a1-Sp16,35.96052500000001,14.018875000000005,33.89177499999999,26.462275,24.216425
Gal(a1-3)GalNAc(b1-Sp8,20.94775,20.0739,13.292749999999998,24.147074999999994,16.952575000000003
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,18.52395,13.190625,30.132575,28.5549,19.213775
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,8.261175,17.653024999999996,11.603125,19.463125,28.52415
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,6.064774999999999,28.593250000000005,30.767525,131.98315,183.479625
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,10.0126,24.966275000000003,2.210825,34.36155,10.175649999999996
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,15.524525000000002,6.715099999999994,19.34265,20.824099999999994,33.9209
Gal(a1-3)Gal(b1-Sp8,2.813725,18.9946,6.7147999999999985,7.349325000000002,34.92795000000001
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,23.782975000000004,28.37135,24.917175,6.467550000000003,38.90047500000001
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,19.510949999999994,21.98787500000001,26.877975,30.895025,34.80679999999999
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,10.793675,23.83355,32.346174999999995,19.339824999999987,29.020374999999966
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,25.8919,22.50380000000001,29.61535,11.724225000000004,49.106675
Gal(a1-4)GlcNAc(b1-Sp8,14.774375,5.602525000000003,22.426525,15.1422,11.54525
Gal(a1-6)Glc(b1-Sp8,25.22835,11.668575,16.64475,20.64315,17.191975000000006
Gal(b1-2)Gal(b1-Sp8,22.045325000000005,23.00235,30.285675,22.26402500000001,25.61245000000001
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.602849999999998,33.594375,19.32295,16.24575,11.253975
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,21.4889,8.863800000000008,23.5063,27.30065,42.59035
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,4.5980750000000015,19.636475,15.29445,20.4584,17.479025
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,28.240075,20.620249999999988,30.439325,14.98345,14.5552
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,9.672325,17.720824999999994,14.188000000000002,11.927600000000002,14.713000000000005
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,34.834450000000004,41.05035,31.3907,39.56965,35.21160000000001
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,12.791200000000005,9.5435,13.416200000000002,35.742675000000034,48.3762
