IUPAC,AOL (Mahal Lab) (0.1ug/ml),AOL (Mahal Lab) (1ug/ml),AOL (Mahal Lab) (10ug/ml),AOL (100ug/ml)
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,12.064799999999998,-0.9664,14.210975,25.917075
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,11.777774999999998,7.515925000000002,-3.9735250000000018,25.268225
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,9.11105,7.473525000000002,26.07339999999999,21.388875
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,28.03985,17.980825000000006,10.766175,11.664825000000002
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,26.819775,15.625049999999995,17.837575,22.15745
GlcNAc(b1-6)GalNAc(a1-Sp8,-4.004874999999997,22.64325,8.888050000000002,25.886924999999994
GlcNAc(b1-6)GalNAc(a1-Sp14,15.509925000000004,0.9549749999999976,20.763100000000005,19.993250000000003
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,5.507900000000001,9.863999999999997,11.510525000000005,17.947875000000003
Glc(a1-4)Glc(b1-Sp8,20.337875,15.81405,28.918274999999994,20.907100000000003
Glc(a1-4)Glc(a1-Sp8,12.813149999999995,28.7755,9.935675,8.270649999999998
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,6.659050000000002,12.236350000000002,12.70915,37.22320000000001
Glc(b1-4)Glc(b1-Sp8,21.536625,17.116500000000002,18.058925,17.82315
Glc(b1-6)Glc(b1-Sp8,9.382475,18.653025000000007,26.29915,48.23409999999999
G-ol(a1-Sp8,258.597325,744.5781499999997,1344.1358,1900.7622
GlcA(a1-Sp8,10.433274999999998,23.9215,22.15475,73.763375
GlcA(b1-Sp8,76.3827,83.18310000000002,70.41064999999998,110.13232500000002
GlcA(b1-3)Gal(b1-Sp8,12.261475,7.667374999999998,9.9746,25.715575
GlcA(b1-6)Gal(b1-Sp8,7.359625000000001,32.2156,11.410900000000002,26.588899999999995
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,7.098499999999998,8.738574999999997,5.273825,40.02645
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,17.862375,10.85295,14.9039,10.1033
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,6.1005499999999975,16.481625,6.411774999999995,7.826674999999999
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,3.845175000000003,11.658925000000002,12.602399999999996,8.137574999999998
Man(a1-2)Man(a1-3)Man(a1-Sp9,21.042525,14.207725000000002,11.76335,23.529074999999995
