IUPAC,HAA 0.1ug/ml,HAA 1ug/ml,HAA 10ug/ml,HAA 100ug/ml
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,8.470625,8.27795,2.782875,1.3254499999999982
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,-0.08284999999999876,2.1637999999999984,-2.0218000000000003,462.929975
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,6.039074999999998,14.19685,18.60725,2.2074250000000006
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,7.632624999999999,9.565650000000002,-1.2021250000000006,29.660875
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,13.55915,1.128725000000001,4.879000000000001,-3.678625
GlcNAc(b1-6)GalNAc(a1-Sp8,2.1390000000000002,2.755,1.1690000000000005,9.032800000000003
GlcNAc(b1-6)GalNAc(a1-Sp14,29.25404999999999,7.764924999999995,-1.9085249999999967,278.36322500000006
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,3.8890249999999895,0.9983499999999994,3.3852,33.93209999999999
Glc(a1-4)Glc(b1-Sp8,2.507150000000001,4.872649999999998,5.927575000000001,1.3492750000000004
Glc(a1-4)Glc(a1-Sp8,11.185575000000002,6.305925000000001,9.9433,8.724725000000005
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,4.179525000000001,8.681175000000001,12.470199999999998,25.99239999999999
Glc(b1-4)Glc(b1-Sp8,1.7291999999999987,5.4398750000000025,7.858274999999999,41.075100000000006
Glc(b1-6)Glc(b1-Sp8,6.155500000000001,13.242474999999995,19.1742,13.937199999999995
G-ol(a1-Sp8,7.33925,11.09905,11.163325,1.276225000000002
GlcA(a1-Sp8,0.09687499999999982,-1.2619499999999997,4.330675000000001,-5.642450000000002
GlcA(b1-Sp8,49.03715,48.30877499999999,42.489875,111.420925
GlcA(b1-3)Gal(b1-Sp8,6.953800000000002,2.57885,1.149424999999999,-8.259949999999998
GlcA(b1-6)Gal(b1-Sp8,7.149775000000001,-0.2237000000000009,4.646324999999996,-8.944125
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,0.5736249999999994,0.4568500000000011,3.248174999999999,-7.897400000000001
