IUPAC,MOA (0.1ug/ml),MOA (1ug/ml),MOA (10ug/ml)
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,34.50745,43.958975,32.961025
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,303.9132,353.8629,350.83455
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,13.6131,7.9616,14.014175
Man(b1-4)GlcNAc(b1-Sp0,15.1535,11.953725,2.84785
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.055175,3.3045,4.5282
(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,12.455675,14.254925,10.742575
Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,20.23135,28.404725,9.26145
Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,10.67605,11.38785,12.426
Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,15.092525,26.862975,22.02355
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,1.16205,-1.972975,-3.056825
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,-5.2754,-3.417875,-9.815225
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,20.505775,5.048425,27.4593
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,54.576775,61.476625,46.8866
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,11.2469,1.351675,9.421675
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,4.008025,15.961725,12.327675
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8,8.2761,6.321375,3.2448
Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-0.371675,-0.5281,3.22265
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0,9.295775,21.7712,15.73095
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8,13.387825,9.8678,2.63975
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,7.79145,3.852125,7.287675
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,11.675575,0.9539,4.179675
Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8,8.30125,15.2646,10.111725
Neu5Ac(a2-3)GalNAc(a1-Sp8,8.137825,3.58495,7.743425
Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0,-1.4358,7.64335,5.9995
Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(a1-Sp8,53.668675,63.308975,58.081975
Neu5Ac(a2-3)Gal(b1-3)[ Fuc(a1-4)]GlcNAc(b1-Sp8,10.44025,3.95905,2.995475
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.499375,18.08895,21.592625
Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8,5.3132,-3.705475,4.8905
Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8,1.9397,9.600075,0.2401
