IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,-1.93735,0.17115,7.5263,4.41105,62.3937
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,23.7786,7.8591,30.114925,41.662825,43.37065
Gal(b1-3)Gal(b1-Sp8,2.00055,6.9158,12.6041,4.113025,50.57895
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.013225,35.650525,1802.159,9384.81515,26069.4472
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,13.96215,19.133625,5.053875,13.621575,19.86725
Gal(b1-3)GlcNAc(b1-Sp0,13.93765,6.1629,20.35555,3.84375,34.324725
Gal(b1-3)GlcNAc(b1-Sp8,22.36035,72.02725,208.24205,581.049625,1527.533025
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.923475,19.941625,11.0287,63.924325,250.985075
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,22.22555,11.12545,6.79845,44.879225,21.534075
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.3394,47.92755,76.45935,93.636325,128.220775
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.729275,4.111325,10.784275,25.965175,46.6171
Gal(b1-4)(6S)Glc(b1-Sp0,4.9415,9.1973,18.935975,11.137025,374.465825
Gal(b1-4)(6S)Glc(b1-Sp8,12.8576,18.939025,30.93245,60.525175,93.4697
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,7.52725,607.524975,14208.782,23331.53628,28760.67135
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.457275,159.804925,421.714575,4287.5801,11374.8033
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,12.747375,6.631625,26.2993,37.41325,14.7471
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,10.701475,11.8314,6.626425,36.538225,84.6023
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.215,6.769225,9.4564,16.04955,68.26965
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.1907,186.46555,3414.923275,11842.67933,27753.89638
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.24275,268.76955,8318.96165,22306.56823,33622.90055
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,5.147825,4.4377,7.555875,592.378525,3896.410475
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,15.125175,27.441025,19.197475,901.1748,745.381625
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,28.50395,122.53595,2202.3434,21117.80738,29450.00707
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,10.18805,5.931625,7.291875,24.734025,72.5641
Gal(b1-4)GlcNAc(b1-Sp0,160.7837,6395.10605,12226.13903,20240.08508,27035.51498
Gal(b1-4)GlcNAc(b1-Sp8,29.886275,631.0735,7648.3781,10460.92408,27276.47938
Gal(b1-4)GlcNAc(b1-Sp23,13.72795,142.706175,3625.147725,10787.04618,30927.97955
Gal(b1-4)Glc(b1-Sp0,23.4929,-1.264625,10.31575,14.0436,109.3657
Gal(b1-4)Glc(b1-Sp8,14.25225,4.28315,9.082125,21.87195,124.678925
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,378.3397,4991.13005,32060.8388,38860.24202,39827.98082
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,18.74,1210.76565,4147.257525,10316.62065,24978.64853
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,59.626175,4553.0311,15773.75913,29493.36278,31825.94753
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,98.751575,2187.680875,11459.47928,28269.59143,28789.74757
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,14.368075,22.30375,26.539375,31.157375,81.0085
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,197.2024,7562.6705,34002.61693,35185.114,37181.57915
GlcNAc(b1-3)GalNAc(a1-Sp8,15.61885,5.0344,22.074575,34.66075,67.735925
GlcNAc(b1-3)GalNAc(a1-Sp14,12.97145,9.0225,14.3767,3.972025,34.5785
GlcNAc(b1-3)Gal(b1-Sp8,18.82425,15.616975,106.131525,275.868675,2031.749525
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,275.10725,8321.8321,29162.3866,28804.85845,22900.15802
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,78.081125,3286.51215,14547.69778,35756.33513,20002.06543
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,432.372775,9660.050375,35718.33248,34474.0225,25192.59082
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,18.7994,721.99265,1358.632375,3140.4715,13442.74502
GlcNAc(b1-4)(a1-MDPLys,237.14125,9152.008825,23223.6889,27346.35988,28309.13075
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,185.548425,6043.2741,14357.87858,27879.1472,24653.30002
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,4.555975,51.43135,5152.437925,13709.35135,24427.67375
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,525.34645,9366.16985,25008.54493,28468.6538,27739.93978
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,382.8771,8919.46195,24152.48733,29243.28322,30296.00722
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,564.414825,8798.573675,28053.60218,30064.13147,31571.29368
GlcNAc(b1-6)GalNAc(a1-Sp8,328.88945,8979.5163,29109.48062,30718.47663,32197.85955
GlcNAc(b1-6)GalNAc(a1-Sp14,22.0415,28.049125,50.3075,200.9548,1816.886375
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,377.580725,6204.9939,32057.6074,35652.8718,36059.10693
Glc(a1-4)Glc(b1-Sp8,20.02655,13.87125,28.5436,39.859825,83.40925
Glc(a1-4)Glc(a1-Sp8,11.03125,6.350175,6.007225,5.8059,55.725925
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,16.91575,11.69445,17.685575,24.140475,29.440075
Glc(b1-4)Glc(b1-Sp8,12.661925,22.86395,26.58745,32.6412,66.4661
Glc(b1-6)Glc(b1-Sp8,4.32755,5.563775,15.061075,42.0324,32.3466
G-ol(a1-Sp8,20.552525,6.628675,18.437475,12.849,155.5265
GlcA(a1-Sp8,21.9603,0.8402,5.437825,22.089325,98.5621
GlcA(b1-Sp8,47.281825,94.210525,51.28125,86.147825,228.213475
GlcA(b1-3)Gal(b1-Sp8,17.469375,3.5138,13.522825,8.210025,71.316625
GlcA(b1-6)Gal(b1-Sp8,29.43915,13.4577,26.90525,16.792475,39.69475
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,21.370725,4.8506,9.48655,19.951875,73.963725
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,4.75505,10.894325,44.9373,3755.9331,14776.40325
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,4.75835,3.70655,17.26505,9.808725,31.137825
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,8.057025,11.8013,8.012175,9.54915,6.919
Man(a1-2)Man(a1-3)Man(a1-Sp9,1.739325,11.792075,17.3138,33.773125,59.65465
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.689175,10.210775,11.1532,31.1574,3449.469875
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-1.6571,5.341525,1.863175,3713.683375,6324.374575
