IUPAC,MOA (0.1ug/ml),MOA (1ug/ml),MOA (10ug/ml)
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,6.29038898,5.514511238,7.199079106
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,24.37266399,5.065808746,9.094211131
GlcNAc(b1-3)GalNAc(a1-Sp8,11.66661403,3.526442247,5.111115889
GlcNAc(b1-3)GalNAc(a1-Sp14,4.378103742,10.72684272,4.462962035
GlcNAc(b1-3)Gal(b1-Sp8,5.890708153,1.892987379,2.319071977
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.372081083,4.841835236,8.309557072
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,11.27459034,2.888455099,1.527796946
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,10.81386471,7.487694106,15.4328282
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,5.385860979,6.323755526,6.407063429
GlcNAc(b1-4)(a1-MDPLys,16.05737707,7.145749921,4.491365413
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,5.63406961,2.760637682,5.847109938
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,18.81498999,5.99684211,1.036639511
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,19.54628439,31.39228451,8.046657539
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,3.715298478,1.596343781,9.250666862
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,9.763757634,8.936629202,11.28707844
GlcNAc(b1-6)GalNAc(a1-Sp8,5.145086812,2.85347577,4.325894392
GlcNAc(b1-6)GalNAc(a1-Sp14,6.973814865,14.12505926,2.320097536
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,6.937465988,10.845362,2.349206705
Glc(a1-4)Glc(b1-Sp8,12.92350832,9.84969729,9.658954781
Glc(a1-4)Glc(a1-Sp8,5.630384825,8.145338451,9.961039443
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,2.634946493,11.82312914,5.875080509
Glc(b1-4)Glc(b1-Sp8,3.90432761,7.712514493,6.567738298
Glc(b1-6)Glc(b1-Sp8,4.964445739,6.678634809,8.530052558
G-ol(a1-Sp8,10.98796595,3.259434979,5.778544907
GlcA(a1-Sp8,14.08315158,4.745189631,8.344464997
GlcA(b1-Sp8,12.19993537,13.03330308,15.8204696
GlcA(b1-3)Gal(b1-Sp8,10.51870235,4.911659543,4.160231271
GlcA(b1-6)Gal(b1-Sp8,9.507976288,4.770885945,8.134874464
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,6.640139794,6.798103043,1.591705918
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,6.490129207,9.746356477,6.405185157
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,8.502950514,11.01988197,9.345359074
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,3.220096117,11.1764737,7.134195664
Man(a1-2)Man(a1-3)Man(a1-Sp9,5.611954262,2.868387678,7.160268646
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,9.390571937,12.42788565,6.58518603
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1.90500848,0.918746898,6.340289281
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,34.53315592,24.98505285,25.87814383
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,9.064739437,17.73137696,5.498648529
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,17.20645551,21.0927446,15.46002819
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,26.94424269,32.25745935,11.55174217
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.271295342,12.21042808,1.768446008
Man(b1-4)GlcNAc(b1-Sp0,14.94566951,16.75990919,10.73785572
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.705386875,9.734086629,4.685650928
(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,2.479369446,7.321146022,6.716803345
Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,8.83506012,9.581018721,4.074055642
Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.888421833,12.27901445,3.396832374
Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,14.66834582,12.88180791,9.270372241
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,5.920445901,8.133360857,5.663210556
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,3.831983481,10.54679286,7.585067634
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,10.06615997,9.039797064,20.54028184
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,7.109841284,7.664853939,19.09747564
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,9.364159059,15.71523665,8.549110918
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.577374512,16.1937369,14.52175732
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8,7.606313538,5.672959274,3.13384125
Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,2.779035664,2.584451102,3.07171744
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0,6.491362426,8.129849157,10.38886726
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8,7.092044254,7.738998465,3.676698534
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,3.168242526,2.364109152,0.979430506
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,9.61307861,7.157350421,3.056219309
Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8,14.51552037,10.23495988,6.814507193
Neu5Ac(a2-3)GalNAc(a1-Sp8,18.02142831,6.510951813,3.763336727
Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0,4.538947152,6.616198825,2.520561545
Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(a1-Sp8,7.398060681,9.257385213,23.68550896
