IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.740804246,28.21105505,299.0963269,1900.534121,2742.781883
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.272759456,20.78005525,404.3834598,1787.384721,608.3045847
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,4.1938669,4.157483624,3.644187005,119.9750621,1251.143596
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,7.046961099,28.23783678,12.20715753,75.54618191,61.12460512
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,17.32479433,14.98481061,220.3299085,1173.02646,4154.841806
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,16.2890444,5.15746027,9.575817016,19.92075962,17.11504436
Gal(b1-4)GlcNAc(b1-Sp0,43.65971502,2198.736528,1529.824972,2196.485962,980.6868789
Gal(b1-4)GlcNAc(b1-Sp8,17.47198238,301.5449392,1719.527879,1130.589118,2321.228403
Gal(b1-4)GlcNAc(b1-Sp23,4.488837673,39.39354971,531.0364838,976.5005801,2287.159545
Gal(b1-4)Glc(b1-Sp0,12.47806198,6.396941768,3.284114588,8.210803127,151.2036921
Gal(b1-4)Glc(b1-Sp8,17.94882864,6.112053269,2.837358537,20.44610736,44.59423974
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,30.97239962,581.2446061,2130.611789,1305.976615,1577.224206
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,6.03013598,482.1477787,486.6190972,1146.934927,3749.020817
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,36.3241318,855.8612723,5982.41907,1797.380871,1270.243112
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,27.41465526,137.1696897,1494.295183,2139.849793,3007.419476
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,14.96861015,22.4713112,16.49164426,12.56851113,22.17529618
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,27.54166641,512.2015932,1045.222367,1257.067408,1614.937755
GlcNAc(b1-3)GalNAc(a1-Sp8,3.578987153,8.83779525,10.70498451,13.41907414,5.705024075
GlcNAc(b1-3)GalNAc(a1-Sp14,19.44513994,8.840925927,6.93098087,4.665548412,6.994084516
GlcNAc(b1-3)Gal(b1-Sp8,14.56446876,8.082568,57.82557359,40.39263039,1229.075622
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,52.01359379,1264.241733,1146.206446,1567.640791,4490.78358
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,26.90465322,393.9337407,2950.598046,1285.304118,7425.252912
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,14.71056984,825.8096587,851.0133469,2238.903724,7810.246449
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,10.92634937,45.145866,701.4720536,304.7951924,594.1233283
GlcNAc(b1-4)(a1-MDPLys,82.81316321,1027.712588,1232.980071,5616.391362,2357.598448
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,31.71616939,469.9387682,2235.530057,11084.291,1151.473466
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,5.090232563,21.55985101,460.1032284,340.5466566,2530.22353
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,23.65255653,661.4813207,1958.966267,2385.363421,1242.234984
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,44.37755117,547.596249,925.5378003,1923.665893,2299.522504
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,55.48472459,829.3213343,832.0052465,531.0387904,1607.246501
GlcNAc(b1-6)GalNAc(a1-Sp8,52.6200061,522.9722718,1995.644459,511.563774,1070.834861
GlcNAc(b1-6)GalNAc(a1-Sp14,9.415633992,16.89779935,51.32386105,71.97347004,350.0653031
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,23.98699203,810.755765,3035.573968,654.8860322,1374.323526
Glc(a1-4)Glc(b1-Sp8,19.53209502,7.488161324,11.02122504,42.01094715,24.75574636
Glc(a1-4)Glc(a1-Sp8,6.980180163,11.43614099,5.05889285,4.943993846,45.33618005
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,9.235245447,7.995927416,18.2757084,6.293946645,12.95228159
Glc(b1-4)Glc(b1-Sp8,1.40058643,12.24372601,7.47477968,26.43422846,51.8594429
Glc(b1-6)Glc(b1-Sp8,4.707965552,8.019403502,6.861367736,40.9890234,9.029962252
G-ol(a1-Sp8,11.52375497,3.275129135,8.961420965,4.534880383,72.95621372
