IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,16.30972864,31.57763657,19.16543381,8.70109481,25.88469481
Gal(a1-3)Gal(b1-Sp8,7.235441795,8.354962724,4.77838762,9.039594115,12.78850891
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,22.30680610000001,2.1476585740000003,9.481046869,9.279201973,19.79921993
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,10.31924359,18.25581347,12.8501367,7.59424512,19.45694148
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,15.9728709,8.777528117000001,7.299293313,26.40503947,19.33720215
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,14.69681584,14.71746091,19.28979072,3.169772347,14.77022907
Gal(a1-4)GlcNAc(b1-Sp8,2.416285527,8.623366596,6.3167371039999995,7.9792921429999994,4.562151673
Gal(a1-6)Glc(b1-Sp8,7.214681181,6.9051582389999995,6.992489169,12.55942554,10.05739126
Gal(b1-2)Gal(b1-Sp8,6.648419914,10.65597742,5.349476181,12.37866184,16.0722134
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.89477477,10.43387434,2.351739817,7.221941565,8.311677385
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.908660242,12.18875994,5.770459245,21.94364279,6.731581506
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,10.95040667,7.5268331360000005,9.782800948,10.29036306,17.26786546
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,7.529567378999999,12.58104998,12.98397767,33.59961951,6.51085508
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,5.42613145,17.54169385,10.43063586,16.68938023,11.80550208
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,4.701673595,17.27835875,30.38932779,82.05210589,646.0974045
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,26.86116721,13.26729079,52.39154189,12.81359692,37.25811186
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,6.7574810329999995,8.058451281,25.104048300000002,16.36399072,11.17020872
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,6.385855149,11.41355891,18.79915698,6.263781044,6.792681817
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.589529633,1.508246961,3.319787595,6.797720847000001,8.140759561
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,9.031009581000001,1.403802252,7.324106423,9.04104541,8.844119909
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,9.530823341,1.245985012,11.08758167,13.75209053,11.2896305
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,2.217917827,2.902572911,15.83022401,25.73601998,2.773288325
Gal(b1-3)GalNAc(a1-Sp8,13.68406248,9.215578301,7.836357125,8.883059855,3.4635902460000003
Gal(b1-3)GalNAc(a1-Sp14,16.85875655,6.163464783999999,21.45999723,5.562597126,13.40674201
Gal(b1-3)GalNAc(a1-Sp16,9.027893042999999,23.68297173,15.35491501,9.323495197,14.05851316
Gal(b1-3)GalNAc(b1-Sp8,5.278615855,7.66054233,4.751032005,18.80462471,7.472997606
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,6.505079406,7.225069317000001,19.80919675,4.975665032,13.77477571
