IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,20.134225,5.87815,2.460475,35.53635,8.364225
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,6.667125,7.350525,-5.781325,6.806175,15.289125
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,6.0947,14.62975,18.41715,3.491275,2.594225
GlcNAc(b1-6)GalNAc(a1-Sp8,4.93655,-4.9385,-22.4898,-5.569525,-8.052125
GlcNAc(b1-6)GalNAc(a1-Sp14,9.90625,3.754925,5.47705,7.30135,-3.707525
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,4.29055,10.77735,-10.86875,-1.228175,19.4903
Glc(a1-4)Glc(b1-Sp8,9.458275,2.949075,20.016975,4.95895,5.0171
Glc(a1-4)Glc(a1-Sp8,16.9302,9.8422,6.99935,8.8579,13.3134
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,12.103675,7.622275,8.0317,9.901375,12.163225
Glc(b1-4)Glc(b1-Sp8,10.775575,15.37805,0.930175,-7.782875,11.6566
Glc(b1-6)Glc(b1-Sp8,1.483875,12.997575,26.8592,1.752875,10.223525
G-ol(a1-Sp8,23.6052,16.523725,12.250175,8.5161,30.521825
GlcA(a1-Sp8,1.572275,8.680075,-6.197425,-4.49795,8.872225
GlcA(b1-Sp8,27.344475,22.386775,34.644475,24.5508,34.1308
GlcA(b1-3)Gal(b1-Sp8,0.335825,13.0687,-2.705,-3.753825,-4.65295
GlcA(b1-6)Gal(b1-Sp8,19.8088,23.061325,1.17965,11.7872,39.281625
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,-1.220175,10.2167,-17.334075,14.95335,-10.1601
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,4.512425,0.0965,-12.96745,-1.446275,7.091975
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,8.220475,5.346425,7.21575,1.437425,-0.723675
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,2.925575,12.964625,-0.144375,0.49265,-2.294375
Man(a1-2)Man(a1-3)Man(a1-Sp9,-0.9761,19.3158,4.3865,-2.634475,2.5245
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.7914,-0.398,2.192875,-5.834625,-10.927625
