Index,IUPAC
293,(6S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
294,(6P)Glc(b1-Sp10
295,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
296,Gal(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
297,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
298,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0
299,GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0
300,Gal(b1-4)GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp0
301,Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp0
302,GalNAc(b1-3)Gal(b1-Sp8
303,GlcA(b1-3)GlcNAc(b1-Sp8
304,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
305,GlcNAc(b1-3)Man(b1-Sp10
306,GlcNAc(b1-4)GlcNAc(b1-Sp10
307,GlcNAc(b1-4)GlcNAc(b1-Sp12
,MurNAc(b1-4)GlcNAc(b1-Sp10
308,Man(a1-6)Man(b1-Sp10
309,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-Sp10
310,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(a1-Sp9
311,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(a1-Sp9
312,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14
313,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
